0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:05:34 +0700] "GET /api/v1/movies?page=1&size=12&sort=id,desc HTTP/1.1" 200 5990 31262
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:07:59 +0700] "GET /api/v1/movies/28 HTTP/1.1" 200 913 20127
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:07:59 +0700] "GET /api/v1/movies/28 HTTP/1.1" 200 913 9858
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:07:59 +0700] "GET /api/v1/showtime?movieId=28 HTTP/1.1" 200 470 6766
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:07:59 +0700] "GET /api/v1/showtime?movieId=28 HTTP/1.1" 200 470 5593
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:11:50 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 40284
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:11:50 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 25161
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:11:52 +0700] "GET /api/v1/movies/45 HTTP/1.1" 200 886 13547
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:11:52 +0700] "GET /api/v1/movies/45 HTTP/1.1" 200 886 9626
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:11:52 +0700] "GET /api/v1/showtime?movieId=45 HTTP/1.1" 200 470 7860
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:11:52 +0700] "GET /api/v1/showtime?movieId=45 HTTP/1.1" 200 469 10999
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:14:56 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 27955
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:14:56 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 17827
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:14:59 +0700] "GET /api/v1/movies/42 HTTP/1.1" 200 864 10452
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:14:59 +0700] "GET /api/v1/movies/42 HTTP/1.1" 200 864 5834
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:14:59 +0700] "GET /api/v1/showtime?movieId=42 HTTP/1.1" 200 470 5016
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:14:59 +0700] "GET /api/v1/showtime?movieId=42 HTTP/1.1" 200 470 4859
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:26:52 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 36454
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:26:52 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 24397
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:54:56 +0700] "GET /api/v1/movies/38 HTTP/1.1" 200 739 13264
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:54:56 +0700] "GET /api/v1/movies/38 HTTP/1.1" 200 739 8442
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:54:56 +0700] "GET /api/v1/showtime?movieId=38 HTTP/1.1" 200 470 8155
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:54:56 +0700] "GET /api/v1/showtime?movieId=38 HTTP/1.1" 200 470 14527
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:55:12 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 8730
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:55:12 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 8394
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:55:12 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 28459
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:55:12 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 17758
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:55:15 +0700] "GET /api/v1/movies/47 HTTP/1.1" 200 848 17617
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:55:15 +0700] "GET /api/v1/movies/47 HTTP/1.1" 200 848 9284
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:55:15 +0700] "GET /api/v1/showtime?movieId=47 HTTP/1.1" 200 470 7861
0:0:0:0:0:0:0:1 - - [06/Nov/2025:00:55:15 +0700] "GET /api/v1/showtime?movieId=47 HTTP/1.1" 200 470 7946
0:0:0:0:0:0:0:1 - - [06/Nov/2025:01:01:33 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 8202
0:0:0:0:0:0:0:1 - - [06/Nov/2025:01:01:33 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 200 2823 6858
0:0:0:0:0:0:0:1 - - [06/Nov/2025:01:01:34 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6191 32759
