0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:34 +0700] "OPTIONS /api/v1/auth/refresh HTTP/1.1" 200 - 104980
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:35 +0700] "POST /api/v1/auth/refresh HTTP/1.1" 500 131 120916
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:36 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 59293
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:36 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 11333
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:37 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6408 122102
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:37 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6408 42752
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:44 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 14090
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:44 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 14390
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:44 +0700] "GET /api/v1/movies/45 HTTP/1.1" 200 886 40850
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:44 +0700] "GET /api/v1/movies/45 HTTP/1.1" 200 886 13564
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:44 +0700] "GET /api/v1/showtime?movieId=45 HTTP/1.1" 200 706 16166
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:18:44 +0700] "GET /api/v1/showtime?movieId=45 HTTP/1.1" 200 706 10138
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:46 +0700] "GET /api/v1/cities/active HTTP/1.1" 200 1151 32243
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:46 +0700] "GET /api/v1/cities/active HTTP/1.1" 200 1151 12156
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:46 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 13344
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:46 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 8546
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:50 +0700] "GET /api/v1/movies/coming-soon?size=12 HTTP/1.1" 200 2247 38171
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:50 +0700] "GET /api/v1/movies/coming-soon?size=12 HTTP/1.1" 200 2247 22330
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:50 +0700] "GET /api/v1/movies/now-showing?size=12 HTTP/1.1" 200 6159 63654
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:50 +0700] "GET /api/v1/movies/top-rated?size=10 HTTP/1.1" 200 5702 79861
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:50 +0700] "GET /api/v1/movies?size=20 HTTP/1.1" 200 10171 86337
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:50 +0700] "GET /api/v1/movies/now-showing?size=12 HTTP/1.1" 200 6159 51913
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:50 +0700] "GET /api/v1/movies/top-rated?size=10 HTTP/1.1" 200 5702 39133
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:50 +0700] "GET /api/v1/movies?size=20 HTTP/1.1" 200 10171 57014
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:51 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6408 58953
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:19:51 +0700] "GET /api/v1/movies?page=0&size=12&sort=id,desc HTTP/1.1" 200 6408 43918
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:24:23 +0700] "GET /api/v1/movies?page=0&size=10&sort=releaseDate,desc HTTP/1.1" 200 5314 33342
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:24:23 +0700] "GET /api/v1/movies?page=0&size=10&sort=releaseDate,desc HTTP/1.1" 200 5314 34450
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:24:33 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 14915
0:0:0:0:0:0:0:1 - - [28/Nov/2025:22:24:33 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 12867
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:42:49 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 6584 553171
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:42:49 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 552432
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:42:49 +0700] "GET /api/v1/showtime HTTP/1.1" 200 706 552060
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:42:49 +0700] "GET /api/v1/showtime HTTP/1.1" 200 706 14899
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:42:49 +0700] "GET /api/v1/showtime HTTP/1.1" 200 705 10546
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:42:49 +0700] "GET /api/v1/showtime HTTP/1.1" 200 706 8947
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:42:49 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 45691
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:42:49 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 6584 80428
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:13 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 29718
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:13 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 14205
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:16 +0700] "GET /api/v1/movies?page=0&size=10&sort=releaseDate,desc HTTP/1.1" 200 5314 63962
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:16 +0700] "GET /api/v1/movies?page=0&size=10&sort=releaseDate,desc HTTP/1.1" 200 5314 45740
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:17 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 41309
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:17 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 9506
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:35 +0700] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 - 3531
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:36 +0700] "POST /api/v1/auth/login HTTP/1.1" 200 877 880496
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:45 +0700] "OPTIONS /api/v1/cinema-clusters/all HTTP/1.1" 200 - 4039
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:45 +0700] "OPTIONS /api/v1/cinema-clusters/all HTTP/1.1" 200 - 3991
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:46 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 947559
0:0:0:0:0:0:0:1 - - [28/Nov/2025:23:43:46 +0700] "GET /api/v1/cinema-clusters/all HTTP/1.1" 500 138 21801
