0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:10 +0700] "OPTIONS /api/v1/auth/login HTTP/1.1" 200 - 145640
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:11 +0700] "POST /api/v1/auth/login HTTP/1.1" 200 877 966894
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:16 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 1563
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:16 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 1396
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:16 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 1444
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:16 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 6012
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:16 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 4898
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:16 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 6326
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:17 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 945280
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:17 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 25316
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:17 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 1008090
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:17 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5902 1033033
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:17 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 52535
0:0:0:0:0:0:0:1 - - [17/Nov/2025:13:03:17 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 112637
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:10 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 136790
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:10 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 137677
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:10 +0700] "OPTIONS /api/v1/showtime HTTP/1.1" 200 - 136928
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:10 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 136972
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:10 +0700] "OPTIONS /api/v1/cinemas HTTP/1.1" 200 - 136674
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:10 +0700] "OPTIONS /api/v1/movies/now-showing HTTP/1.1" 200 - 137031
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:11 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 1436116
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:11 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 1435629
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:11 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 1442096
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:13 +0700] "GET /api/v1/showtime HTTP/1.1" 200 470 45496
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:13 +0700] "GET /api/v1/movies/now-showing HTTP/1.1" 200 5320 71191
0:0:0:0:0:0:0:1 - - [17/Nov/2025:15:54:13 +0700] "GET /api/v1/cinemas HTTP/1.1" 200 5903 118913
